https://bit.ly/2qTKREN ,I make a salutation to all Victors with a measure of bodies the same as there are atoms in a (Buddha) field, with a mind directed towards all Victors, with the strength of (my) Aspiration for the Good Life,Kṣetra-rajopama-kāyă-pramāṇaiḥ sarva-Jināna karomĭ praṇāmam, sarva-Jinābhimukhena manena, Bhadra-carī-praṇidhāna-balena [2]
https://bitly/2qTKREN ,On the tip of each single atom Buddhas like atoms sit in the midst of the Sons of Buddhas (and) so I am totally and completely intent on the Dharma Element which is filled with Victors,Eka-rajāgri rajopama-Buddhā Buddha-sutāna niṣaṇṇaku madhye evam-aśeṣata Dharmata-dhātuṁ sarvadhimucyami  pūrṇa Jinebhiḥ [3]
https//bitly/2qTKREN ,With a voice having an ocean of intonations an ocean of letters and syllables speaking of the virtues all Victors I praise all the Happy Ones,Teṣu ca akṣaya-varṇa-samudrān sarvă-svarāṅga-samudra-rutebhiḥ sarva-Jināna guṇān-bhaṇamānas-tān-Sugatān-stavamī ahu sarvān 
https//bitly/2qTKREN ,With the best flowers with the best garlands with the best umbrellas creams and musical instruments with the best lamps with the best incense I honour the Victors,Puṣpa-varebhi ca mālya-varebhir-vādya-vilepana-chatra-varebhiḥ dīpa-varebhi ca dhūpa-varebhiḥ pūjana teṣa  Jināna karomi 
https//bitly/2qTKREN ,With the best vestments with the best fragrances with powders and compounds similar to (Mount) Meru and with the best array of all excellent (things) I honour the Victors,Vastra-varebhi ca gandha-varebhiś-cūrṇa-puṭebhi ca Meru-samebhiḥ sarva-viśiṣṭa-viyūha-varebhiḥ pūjana teṣa Jināna karomi 
https//bitly/2qTKREN ,Whatever unsurpassed and exalted offerings there are I intend those for all Victors with the strength and determination for the good life I worship and honour all Victors,Yā ca anuttara pūja udārā tān-adhimucyami sarva-Jinānām bhadra-carī-adhimukti-balena vandami pūjayamī Jina-sarvān 
https//bitly/2qTKREN ,Whatever wickedness may have been done by me through delusion hatred and passion I confess all of it in the same way with body speech and mind,Yac-ca ktaṁ mayi pāpu bhaveyyā rāgatŭ dveṣatu moha-vaśena kāyatu vāca manena tathaiva taṁ pratideśayamī ahu sarvam 
https//bitly/2qTKREN ,Whatever merit beings have in the ten directions from trainees those beyond training Independent Buddhas Sons of Buddhas and also all Victors I rejoice in it all,Yac-ca daśad-diśi puṇya jagasya śaikṣa aśaikṣă-Pratyeka-Jinānām Buddha-sutān-atha sarva-Jinānāṁ taṁ anumodayamī ahu sarvam 
https//bitly/2qTKREN ,Those Lights of the World in the ten directions having awakened to Awakening having attained non-attachment I ask all those Lords to turn the unsurpassed Wheel (of Dharma),Ye ca daśad-diśi Lokă-pradīpā Bodhi vibuddha asaṅgată-prāptāḥ tān-ahu sarvi adhyeṣami Nāthāṁ Cakru  anuttaru vartanatāyai 
https//bitly/2qTKREN ,Those who desire to realise cessation I request with my hands folded to remain for as many aeons as there are atoms in a (Buddha) field for the happiness and welfare of all beings,Ye ’pi ca nirvti darśitu-kāmās-tān-abhiyācamĭ  prāñjali-bhūtaḥ kṣetra-rajopama-kalpă sthihantu  sarva-jagasya hitāya sukhāya 
https//bitly/2qTKREN ,Through worship honouring teaching through requesting asking and rejoicing whatever good has been accumulated by me I offer it all for (the attainment of) Awakening,Vandana-pūjana-deśanatāya modanadhyeṣaṇa-yācanatāya yac-ca śubhaṁ mayi saṁcitu kiṁcid-Bodhayi nāmayamī ahu sarvam 
https//bitly/2qTKREN ,May the Buddhas of the past be honoured and those existing in the world in the ten directions may the (Buddhas) of the future quickly fulfil their desire to awaken to Awakening,Pūjita bhontu atītaka  Buddhā ye ca dhriyanti  daśad-diśi loke ye ca anāgata te laghu bhontu pūrṇa-manoratha Bodhi-vibuddhāḥ  
